TYPE,DATE,START TIME,END TIME,USAGE,UNITS,NOTES
Electric usage,1/16/2021,7:00,7:14,0.37,kWh,
Electric usage,1/16/2021,7:15,7:29,1.11,kWh,
Electric usage,1/16/2021,7:30,7:44,0.51,kWh,
Electric usage,1/16/2021,7:45,7:59,0.8,kWh,
Electric usage,1/16/2021,8:00,8:14,0.51,kWh,
Electric usage,1/16/2021,8:15,8:29,0.52,kWh,
Electric usage,1/16/2021,8:30,8:44,1.34,kWh,
Electric usage,1/16/2021,8:45,8:59,0.52,kWh,
Electric usage,1/16/2021,9:00,9:14,0.39,kWh,
Electric usage,1/16/2021,9:15,9:29,0.28,kWh,
Electric usage,1/16/2021,9:30,9:44,0.29,kWh,
Electric usage,1/16/2021,9:45,9:59,0.92,kWh,
Electric usage,1/16/2021,10:00,10:14,0.5,kWh,
Electric usage,1/16/2021,10:15,10:29,1.05,kWh,
Electric usage,1/16/2021,10:30,10:44,1.04,kWh,
Electric usage,1/16/2021,10:45,10:59,1.03,kWh,
Electric usage,1/16/2021,11:00,11:14,0.9,kWh,
Electric usage,1/16/2021,11:15,11:29,1.53,kWh,
Electric usage,1/16/2021,11:30,11:44,0.96,kWh,
Electric usage,1/16/2021,11:45,11:59,0.34,kWh,
Electric usage,1/16/2021,12:00,12:14,0.82,kWh,
Electric usage,1/16/2021,12:15,12:29,0.33,kWh,
Electric usage,1/16/2021,12:30,12:44,0.46,kWh,
Electric usage,1/16/2021,12:45,12:59,0.57,kWh,
Electric usage,1/16/2021,13:00,13:14,0.89,kWh,
Electric usage,1/16/2021,13:15,13:29,1.12,kWh,
Electric usage,1/16/2021,13:30,13:44,0.69,kWh,
Electric usage,1/16/2021,13:45,13:59,0.8,kWh,
Electric usage,1/16/2021,14:00,14:14,0.8,kWh,
Electric usage,1/16/2021,14:15,14:29,0.36,kWh,
Electric usage,1/16/2021,14:30,14:44,0.35,kWh,
Electric usage,1/16/2021,14:45,14:59,0.67,kWh,
Electric usage,1/16/2021,15:00,15:14,0.33,kWh,
Electric usage,1/16/2021,15:15,15:29,0.3,kWh,
Electric usage,1/16/2021,15:30,15:44,0.32,kWh,
Electric usage,1/16/2021,15:45,15:59,0.65,kWh,
Electric usage,1/16/2021,16:00,16:14,0.35,kWh,
Electric usage,1/16/2021,16:15,16:29,0.57,kWh,
Electric usage,1/16/2021,16:30,16:44,1.35,kWh,
Electric usage,1/16/2021,16:45,16:59,0.52,kWh,
Electric usage,1/16/2021,17:00,17:14,0.58,kWh,
Electric usage,1/16/2021,17:15,17:29,0.88,kWh,
Electric usage,1/16/2021,17:30,17:44,0.67,kWh,
Electric usage,1/16/2021,17:45,17:59,1.09,kWh,
Electric usage,1/16/2021,18:00,18:14,1.12,kWh,
Electric usage,1/16/2021,18:15,18:29,1.83,kWh,
Electric usage,1/16/2021,18:30,18:44,0.84,kWh,
Electric usage,1/16/2021,18:45,18:59,0.08,kWh,
Electric usage,1/16/2021,19:00,19:14,0.62,kWh,
Electric usage,1/16/2021,19:15,19:29,0.07,kWh,
Electric usage,1/16/2021,19:30,19:44,0.43,kWh,
Electric usage,1/16/2021,19:45,19:59,1.2,kWh,
Electric usage,1/16/2021,20:00,20:14,0.89,kWh,
Electric usage,1/16/2021,20:15,20:29,0.8,kWh,
Electric usage,1/16/2021,20:30,20:44,0.58,kWh,
Electric usage,1/16/2021,20:45,20:59,0.57,kWh,
Electric usage,1/16/2021,21:00,21:14,0.85,kWh,
Electric usage,1/16/2021,21:15,21:29,0.5,kWh,
Electric usage,1/16/2021,21:30,21:44,1.56,kWh,
Electric usage,1/16/2021,21:45,21:59,2.89,kWh,
Electric usage,1/16/2021,22:00,22:14,1.91,kWh,
Electric usage,1/16/2021,22:15,22:29,1.27,kWh,
Electric usage,1/16/2021,22:30,22:44,2.42,kWh,
Electric usage,1/16/2021,22:45,22:59,1.45,kWh,
Electric usage,1/16/2021,23:00,23:14,1.43,kWh,
Electric usage,1/16/2021,23:15,23:29,2.15,kWh,
Electric usage,1/16/2021,23:30,23:44,1.37,kWh,
Electric usage,1/16/2021,23:45,23:59,1.11,kWh,
Electric usage,1/17/2021,0:00,0:14,1.8,kWh,
Electric usage,1/17/2021,0:15,0:29,0.62,kWh,
Electric usage,1/17/2021,0:30,0:44,0.55,kWh,
Electric usage,1/17/2021,0:45,0:59,0.55,kWh,
Electric usage,1/17/2021,1:00,1:14,0.78,kWh,
Electric usage,1/17/2021,1:15,1:29,0.29,kWh,
Electric usage,1/17/2021,1:30,1:44,0.28,kWh,
Electric usage,1/17/2021,1:45,1:59,0.27,kWh,
Electric usage,1/17/2021,2:00,2:14,0.57,kWh,
Electric usage,1/17/2021,2:15,2:29,0.28,kWh,
Electric usage,1/17/2021,2:30,2:44,0.26,kWh,
Electric usage,1/17/2021,2:45,2:59,0.28,kWh,
Electric usage,1/17/2021,3:00,3:14,0.27,kWh,
Electric usage,1/17/2021,3:15,3:29,0.54,kWh,
Electric usage,1/17/2021,3:30,3:44,0.31,kWh,
Electric usage,1/17/2021,3:45,3:59,0.26,kWh,
Electric usage,1/17/2021,4:00,4:14,0.34,kWh,
Electric usage,1/17/2021,4:15,4:29,0.26,kWh,
Electric usage,1/17/2021,4:30,4:44,0.29,kWh,
Electric usage,1/17/2021,4:45,4:59,0.28,kWh,
Electric usage,1/17/2021,5:00,5:14,0.27,kWh,
Electric usage,1/17/2021,5:15,5:29,0.28,kWh,
Electric usage,1/17/2021,5:30,5:44,0.51,kWh,
Electric usage,1/17/2021,5:45,5:59,0.39,kWh,
Electric usage,1/17/2021,6:00,6:14,0.28,kWh,
Electric usage,1/17/2021,6:15,6:29,0.26,kWh,
Electric usage,1/17/2021,6:30,6:44,0.28,kWh,
Electric usage,1/17/2021,6:45,6:59,0.52,kWh,
Electric usage,1/17/2021,7:00,7:14,0.62,kWh,
Electric usage,1/17/2021,7:15,7:29,0.27,kWh,
Electric usage,1/17/2021,7:30,7:44,0.26,kWh,
Electric usage,1/17/2021,7:45,7:59,0.28,kWh,
Electric usage,1/17/2021,8:00,8:14,0.26,kWh,
Electric usage,1/17/2021,8:15,8:29,0.67,kWh,
Electric usage,1/17/2021,8:30,8:44,0.71,kWh,
Electric usage,1/17/2021,8:45,8:59,0.46,kWh,
Electric usage,1/17/2021,9:00,9:14,0.28,kWh,
Electric usage,1/17/2021,9:15,9:29,0.26,kWh,
Electric usage,1/17/2021,9:30,9:44,0.3,kWh,
Electric usage,1/17/2021,9:45,9:59,0.3,kWh,
Electric usage,1/17/2021,10:00,10:14,1.2,kWh,
Electric usage,1/17/2021,10:15,10:29,0.31,kWh,
Electric usage,1/17/2021,10:30,10:44,0.28,kWh,
Electric usage,1/17/2021,10:45,10:59,0.34,kWh,
Electric usage,1/17/2021,11:00,11:14,0.8,kWh,
Electric usage,1/17/2021,11:15,11:29,0.33,kWh,
Electric usage,1/17/2021,11:30,11:44,0.3,kWh,
Electric usage,1/17/2021,11:45,11:59,0.52,kWh,
Electric usage,1/17/2021,12:00,12:14,0.72,kWh,
Electric usage,1/17/2021,12:15,12:29,0.08,kWh,
Electric usage,1/17/2021,12:30,12:44,0.21,kWh,
Electric usage,1/17/2021,12:45,12:59,0.27,kWh,
Electric usage,1/17/2021,13:00,13:14,0.67,kWh,
Electric usage,1/17/2021,13:15,13:29,0.97,kWh,
Electric usage,1/17/2021,13:30,13:44,0.69,kWh,
Electric usage,1/17/2021,13:45,13:59,0.31,kWh,
Electric usage,1/17/2021,14:00,14:14,0.32,kWh,
Electric usage,1/17/2021,14:15,14:29,0.3,kWh,
Electric usage,1/17/2021,14:30,14:44,0.32,kWh,
Electric usage,1/17/2021,14:45,14:59,0.51,kWh,
Electric usage,1/17/2021,15:00,15:14,0.47,kWh,
Electric usage,1/17/2021,15:15,15:29,0.66,kWh,
Electric usage,1/17/2021,15:30,15:44,0.3,kWh,
Electric usage,1/17/2021,15:45,15:59,1.15,kWh,
Electric usage,1/17/2021,16:00,16:14,1.6,kWh,
Electric usage,1/17/2021,16:15,16:29,2.23,kWh,
Electric usage,1/17/2021,16:30,16:44,1.61,kWh,
Electric usage,1/17/2021,16:45,16:59,0.46,kWh,
Electric usage,1/17/2021,17:00,17:14,0.91,kWh,
Electric usage,1/17/2021,17:15,17:29,0.95,kWh,
Electric usage,1/17/2021,17:30,17:44,0.92,kWh,
Electric usage,1/17/2021,17:45,17:59,0.09,kWh,
Electric usage,1/17/2021,18:00,18:14,0.55,kWh,
Electric usage,1/17/2021,18:15,18:29,0.06,kWh,
Electric usage,1/17/2021,18:30,18:44,0.45,kWh,
Electric usage,1/17/2021,18:45,18:59,0.59,kWh,
